"geonameid","name","asciiname","latitude","longitude","country_code","admin1_code","admin1_name","population","timezone","hl","gl"
"5907364","Brampton","Brampton","43.68341","-79.76633","CA","08","Ontario","593638","America/Toronto","en","CA"
"3430863","Mar del Plata","Mar del Plata","-38.00042","-57.5562","AR","01","Buenos Aires","593337","America/Argentina/Buenos_Aires","es","AR"
"3520339","Reynosa","Reynosa","26.08005","-98.28456","MX","28","Tamaulipas","589466","America/Matamoros","es","MX"
"3458449","Londrina","Londrina","-23.31028","-51.16278","BR","18","Paraná","588125","America/Sao_Paulo","pt","BR"
"3489297","New Kingston","New Kingston","18.00747","-76.78319","JM","08","Saint Andrew Parish","583958","America/Jamaica","en","JM"
"3688465","Bucaramanga","Bucaramanga","7.125","-73.11895","CO","26","Santander Department","581130","America/Bogota","es","CO"
"4347778","Baltimore","Baltimore","39.29038","-76.61219","US","MD","Maryland","576498","America/New_York","en","US"
"3981461","Tlaquepaque","Tlaquepaque","20.64091","-103.29327","MX","14","Jalisco","575942","America/Mexico_City","es","MX"
"3515428","Tlalpan","Tlalpan","19.29513","-99.16206","MX","09","Mexico City","574577","America/Mexico_City","es","MX"
"3459505","Juiz de Fora","Juiz de Fora","-21.76417","-43.35028","BR","15","Minas Gerais","573285","America/Sao_Paulo","pt","BR"
"4951305","South Boston","South Boston","42.33343","-71.04949","US","MA","Massachusetts","571281","America/New_York","en","US"
"3875024","Puente Alto","Puente Alto","-33.61169","-70.57577","CL","12","Santiago Metropolitan","568106","America/Santiago","es","CL"
"3445831","Uberlândia","Uberlandia","-18.91861","-48.27722","BR","15","Minas Gerais","563536","America/Sao_Paulo","pt","BR"
"5454711","Albuquerque","Albuquerque","35.08449","-106.65114","US","NM","New Mexico","559121","America/Denver","en","US"
"3536729","Santiago de Cuba","Santiago de Cuba","20.02287","-75.82171","CU","15","Santiago de Cuba Province","555865","America/Havana","es","CU"
"3698350","Chiclayo","Chiclayo","-6.77008","-79.85495","PE","14","Lambayeque","552508","America/Lima","es","PE"
"3662762","Porto Velho","Porto Velho","-8.76194","-63.90389","BR","24","Rondônia","548952","America/Porto_Velho","pt","BR"
"3836873","San Miguel de Tucumán","San Miguel de Tucuman","-26.81601","-65.21051","AR","24","Tucuman","548866","America/Argentina/Tucuman","es","AR"
"6325494","Québec","Quebec","46.81228","-71.21454","CA","10","Quebec","531902","America/Toronto","fr","CA"
"3827409","Cuauhtémoc","Cuauhtemoc","19.44506","-99.14612","MX","09","Mexico City","531831","America/Mexico_City","es","MX"
"5318313","Tucson","Tucson","32.22174","-110.92648","US","AZ","Arizona","531641","America/Phoenix","en","US"
"3680656","Ibagué","Ibague","4.43573","-75.20289","CO","28","Tolima Department","529635","America/Bogota","es","CO"
"3583361","San Salvador","San Salvador","13.68935","-89.18718","SV","10","San Salvador Department","525990","America/El_Salvador","es","SV"
"5389489","Sacramento","Sacramento","38.58157","-121.4944","US","CA","California","524943","America/Los_Angeles","en","US"
"3838233","Salta","Salta","-24.80645","-65.41999","AR","17","Salta","520683","America/Argentina/Salta","es","AR"
"5350937","Fresno","Fresno","36.74773","-119.77237","US","CA","California","520052","America/Los_Angeles","en","US"
"5969782","Hamilton","Hamilton","43.25011","-79.84963","CA","08","Ontario","519949","America/Toronto","en","CA"
"4011743","Victoria de Durango","Victoria de Durango","24.02032","-104.65756","MX","10","Durango","518709","America/Monterrey","es","MX"
"3396016","Macapá","Macapa","0.03889","-51.06639","BR","03","Amapá","512902","America/Belem","pt","BR"
"3467693","Campos dos Goytacazes","Campos dos Goytacazes","-21.75227","-41.33044","BR","21","Rio de Janeiro","511168","America/Sao_Paulo","pt","BR"
"4180439","Atlanta","Atlanta","33.749","-84.38798","US","GA","Georgia","510823","America/New_York","en","US"
"6316406","Aparecida de Goiânia","Aparecida de Goiania","-16.82333","-49.24389","BR","29","Goiás","510770","America/Sao_Paulo","pt","BR"
